1386136730 :: Finding features
1386136730 :: Finding faces
1386136730 :: Finding Eyes
1386136730 :: Unknown exception
1386136730 :: Finding features
1386136730 :: Finding faces
1386136730 :: Finding Eyes
1386136731 :: Unknown exception
1386136731 :: Finding features
1386136731 :: Finding faces
1386136731 :: Finding Eyes
1386136731 :: Finished finding features
1386136731 :: Finding features
1386136731 :: Finding faces
1386136731 :: Finding Eyes
1386136731 :: Unknown exception
1386136731 :: Finding features
1386136731 :: Finding faces
1386136731 :: Finding Eyes
1386136731 :: Unknown exception
1386136731 :: Finding features
1386136731 :: Finding faces
1386136731 :: Finding Eyes
1386136731 :: Unknown exception
1386136731 :: Finding features
1386136731 :: Finding faces
1386136731 :: Finding Eyes
1386136731 :: Unknown exception
1386136731 :: Finding features
1386136731 :: Finding faces
1386136731 :: Finding Eyes
1386136731 :: Unknown exception
1386136732 :: Finding features
1386136732 :: Finding faces
1386136732 :: Finding Eyes
1386136732 :: Unknown exception
1386136732 :: Finding features
1386136732 :: Finding faces
1386136732 :: Finding Eyes
1386136732 :: Unknown exception
1386136732 :: Finding features
1386136732 :: Finding faces
1386136732 :: Finding Eyes
1386136732 :: Unknown exception
1386136732 :: Finding features
1386136732 :: Finding faces
1386136732 :: Finding Eyes
1386136732 :: Unknown exception
1386136732 :: Finding features
1386136732 :: Finding faces
1386136732 :: Finding Eyes
1386136732 :: Unknown exception
1386136732 :: Finding features
1386136732 :: Finding faces
1386136732 :: Finding Eyes
1386136732 :: Unknown exception
1386136732 :: Finding features
1386136732 :: Finding faces
1386136732 :: Finding Eyes
1386136732 :: Unknown exception
1386136732 :: Finding features
1386136732 :: Finding faces
1386136733 :: Finding Eyes
1386136733 :: Unknown exception
1386136733 :: Finding features
1386136733 :: Finding faces
1386136733 :: Finding Eyes
1386136733 :: Unknown exception
1386136733 :: Finding features
1386136733 :: Finding faces
1386136733 :: Finding Eyes
1386136733 :: Unknown exception
1386136733 :: Finding features
1386136733 :: Finding faces
1386136733 :: Finding Eyes
1386136733 :: Unknown exception
1386136733 :: Finding features
1386136733 :: Finding faces
1386136733 :: Finding Eyes
1386136733 :: Unknown exception
1386136733 :: Finding features
1386136733 :: Finding faces
1386136733 :: Finding Eyes
1386136733 :: Unknown exception
1386136733 :: Finding features
1386136733 :: Finding faces
1386136733 :: Finding Eyes
1386136733 :: Unknown exception
1386136733 :: Finding features
1386136733 :: Finding faces
1386136734 :: Finding Eyes
1386136734 :: Unknown exception
1386136734 :: Finding features
1386136734 :: Finding faces
1386136734 :: Finding Eyes
1386136734 :: Unknown exception
1386136734 :: Finding features
1386136734 :: Finding faces
1386136734 :: Finding Eyes
1386136734 :: Unknown exception
1386136734 :: Finding features
1386136734 :: Finding faces
1386136734 :: Finding Eyes
1386136734 :: Unknown exception
1386136734 :: Finding features
1386136734 :: Finding faces
1386136734 :: Finding Eyes
1386136734 :: Finished finding features
1386136734 :: Finding features
1386136734 :: Finding faces
1386136734 :: Finding Eyes
1386136734 :: Unknown exception
1386136735 :: Finding features
1386136735 :: Finding faces
1386136735 :: Finding Eyes
1386136735 :: Unknown exception
1386136735 :: Finding features
1386136735 :: Finding faces
1386136735 :: Finding Eyes
1386136735 :: Unknown exception
1386136735 :: Finding features
1386136735 :: Finding faces
1386136735 :: Finding Eyes
1386136735 :: Unknown exception
1386136735 :: Finding features
1386136735 :: Finding faces
1386136735 :: Finding Eyes
1386136735 :: Unknown exception
1386136735 :: Finding features
1386136735 :: Finding faces
1386136735 :: Finding Eyes
1386136735 :: Unknown exception
1386136735 :: Finding features
1386136735 :: Finding faces
1386136735 :: Finding Eyes
1386136735 :: Unknown exception
1386136736 :: Finding features
1386136736 :: Finding faces
1386136736 :: Finding Eyes
1386136736 :: Unknown exception
1386136736 :: Finding features
1386136736 :: Finding faces
1386136736 :: Finding Eyes
1386136736 :: Unknown exception
1386136736 :: Finding features
1386136736 :: Finding faces
1386136736 :: Finding Eyes
1386136736 :: Unknown exception
